".metric",".estimator","mean","n","std_err",".config"
"rmse","standard",84.9435403044759,10,0.296642471765776,"Preprocessor1_Model1"
"rsq","standard",0.46032288379094,10,0.00187351227089294,"Preprocessor1_Model1"
